#️⃣	keycap: #	hash key | keycap | keycap: #	taster: #	taster | taster: #	de	Taste: #	Taste | Taste: #	it	tasto: #	tasto | tasto: #	fr	touches : #	touches | touches : #
*️⃣	keycap: *	keycap | keycap: *	taster: *	taster | taster: *	de	Taste: *	Taste | Taste: *	it	tasto: *	tasto | tasto: *	fr	touches : *	touches | touches : *
🅾️	O button (blood type)	blood | button | negative squared latin capital letter o | O | O button (blood type) | type	O-knapp (blodtype)	blod | blodtype | O | O-knapp (blodtype) | type O	de	Großbuchstabe O in rotem Quadrat	0 | Blut | Blutgruppe | Großbuchstabe | Großbuchstabe O in rotem Quadrat | negativ | O | positiv	it	gruppo sanguigno 0	gruppo 0 | gruppo O | gruppo sanguigno 0 | gruppo sanguigno O | pulsante O | zero	fr	groupe sanguin O	groupe sanguin | groupe sanguin O | O
🅿️	P button	button | negative squared latin capital letter p | P | P button | parking	P-knapp	P-knapp | parkering | parkeringsplass	de	Großbuchstabe P in blauem Quadrat	Großbuchstabe | Großbuchstabe P in blauem Quadrat | P | parken | Parkplatz | Taste	it	pulsante P	area di parcheggio | P | parcheggio | pulsante | pulsante P | tasto	fr	bouton P	bouton | bouton P | P | panneau parking | parking
🆎	AB button (blood type)	AB | AB button (blood type) | blood | button | negative squared ab | type	AB-knapp (blodtype)	AB | AB-knapp (blodtype) | blod | blodtype | type AB	de	Großbuchstaben AB in rotem Quadrat	ab | Blut | Blutgruppe | Großbuchstaben AB in rotem Quadrat | negativ | positiv	it	gruppo sanguigno AB	AB | gruppo AB | gruppo sanguigno AB	fr	groupe sanguin AB	AB | groupe sanguin | groupe sanguin AB
🆑	CL button	button | CL | CL button | squared cl	CL-knapp	CL-knapp | clear | slett | tøm	de	Großbuchstaben CL in rotem Quadrat	CL | Großbuchstaben CL in rotem Quadrat	it	pulsante CL	bottone | CL | pulsante | pulsante CL | simbolo	fr	bouton Effacer	bouton Effacer | CL | effacer | icône Effacer
🆒	COOL button	button | COOL | COOL button | squared cool	COOL-knapp	cool | COOL-knapp	de	Wort „Cool“ in blauem Quadrat	Cool | Wort „Cool“ in blauem Quadrat	it	pulsante COOL	cool | pulsante | pulsante COOL | simbolo | tasto	fr	bouton Cool	bouton Cool | cool | icône Cool
🆓	FREE button	button | FREE | FREE button | squared free	FREE-knapp	free | FREE-knapp | free-symbol | gratis	de	Wort „Free“ in blauem Quadrat	Free | Wort „Free“ in blauem Quadrat	it	pulsante FREE	free | gratis | libero | pulsante | pulsante FREE | simbolo | tasto	fr	bouton Gratuit	bouton Gratuit | gratuit | icône Gratuit
🆔	ID button	button | ID | ID button | identity | squared id	ID-knapp	ID-knapp | ID-symbol | identitet	de	Großbuchstaben ID in lila Quadrat	Großbuchstaben ID in lila Quadrat | ID	it	pulsante ID	ID | identità | pulsante ID | simbolo ID	fr	bouton Identifiant	bouton | bouton Identifiant | icône Identifiant | ID | identifiant
🆕	NEW button	button | NEW | NEW button | squared new	NEW-knapp	new | NEW-knapp | new-symbol | ny | nyhet	de	Wort „New“ in blauem Quadrat	Neu | New | Wort „New“ in blauem Quadrat	it	pulsante NEW	new | nuovo | pulsante | pulsante NEW | simbolo | tasto	fr	bouton Nouveau	bouton Nouveau | icône Nouveau | nouveau | nouveauté
🆖	NG button	button | NG | NG button | squared ng	NG-knapp	ikke bra | NG | NG-knapp | NG-symbol | no good	de	Großbuchstaben NG in blauem Quadrat	Großbuchstaben NG in blauem Quadrat | NG	it	pulsante NG	NG | pulsante | pulsante NG | simbolo NG | tasto	fr	bouton Pas bien	bouton NG | bouton Pas bien | interdit | mauvais | NG
🆗	OK button	button | OK | OK button | okay | squared ok	OK-knapp	OK | OK-knapp | OK-symbol	de	Großbuchstaben OK in blauem Quadrat	Großbuchstaben | Großbuchstaben OK in blauem Quadrat | keycap | OK | okay | Taste | Tastenkappe	it	pulsante OK	OK | pulsante | pulsante OK | simbolo | tasto	fr	bouton OK	bouton OK | icône OK | OK
🆘	SOS button	button | help | SOS | SOS button | squared sos	SOS-knapp	hjelp | hjelp-symbol | sos | SOS-knapp | SOS-symbol	de	SOS-Zeichen	Hilfe | SOS | SOS-Zeichen	it	pulsante SOS	aiuto | pulsante SOS | Segnale di SOS | simbolo di SOS | simbolo SOS | soccorsi | soccorso | SOS	fr	bouton SOS	au secours | bouton SOS | icône SOS | SOS | à l’aide
🆙	UP! button	button | mark | squared up with exclamation mark | UP | UP! | UP! button	UP!-knapp	opp | opp-symbol | up | UP!-knapp | UP!-symbol	de	Schriftzug „UP!“ im blauen Quadrat	Keycap | Schriftzug „UP!“ im blauen Quadrat | Taste | Tastenkappe | UP | UP!	it	pulsante UP!	alto | in alto | pulsante | pulsante UP! | simbolo UP! | sù | tasto UP! | UP!	fr	bouton Vers le haut	bouton Vers le haut | icône Nouveauté | nouveau | nouveauté | up
