#️⃣	keycap: #	hash key | keycap | keycap: #	taster: #	taster | taster: #	de	Taste: #	Taste | Taste: #	it	tasto: #	tasto | tasto: #	fr	touches : #	touches | touches : #
*️⃣	keycap: *	keycap | keycap: *	taster: *	taster | taster: *	de	Taste: *	Taste | Taste: *	it	tasto: *	tasto | tasto: *	fr	touches : *	touches | touches : *
👨‍👦‍👦	family: man, boy, boy	boy | child | family | family: man, boy, boy | man	familie: mann, gutt, gutt	barn | familie | familie: mann, gutt, gutt | far | gutt | mann | mennesker | mor	de	Familie: Mann, Junge und Junge	Familie | Familie: Mann, Junge und Junge | Junge | Kind | Mann | Mutter | Vater	it	famiglia: uomo, bambino e bambino	bambino | famiglia | famiglia: uomo, bambino e bambino | mamma | papà | persone | uomo	fr	famille : homme, garçon et garçon	enfant | famille | famille avec un père, une mère et un fils | famille : homme, garçon et garçon | femme | fils | garçon | homme | mère | père
👨‍👦	family: man, boy	boy | child | family | family: man, boy | man	familie: mann, gutt	barn | familie | familie: mann, gutt | far | gutt | mann | mennesker | mor	de	Familie: Mann, Junge	Familie | Familie: Mann, Junge | Junge | Kind | Mann | Mutter | Vater	it	famiglia: uomo e bambino	bambino | famiglia | famiglia: uomo e bambino | mamma | papà | persone | uomo	fr	famille : homme et garçon	enfant | famille | famille avec un père, une mère et un fils | famille : homme et garçon | femme | fils | garçon | homme | mère | père
👨‍👧‍👦	family: man, girl, boy	boy | child | family | family: man, girl, boy | girl | man	familie: mann, jente, gutt	barn | familie | familie: mann, jente, gutt | far | gutt | jente | mann | mennesker | mor	de	Familie: Mann, Mädchen und Junge	Familie | Familie: Mann, Mädchen und Junge | Junge | Kind | Mann | Mutter | Mädchen | Vater	it	famiglia: uomo, bambina e bambino	bambina | bambino | famiglia | famiglia: uomo, bambina e bambino | mamma | papà | persone | uomo	fr	famille : homme, fille et garçon	enfant | famille | famille avec un père, une mère et un fils | famille : homme, fille et garçon | femme | fille | fils | garçon | homme | mère | père
👨‍👧‍👧	family: man, girl, girl	child | family | family: man, girl, girl | girl | man	familie: mann, jente, jente	barn | familie | familie: mann, jente, jente | far | jente | mann | mennesker | mor	de	Familie: Mann, Mädchen und Mädchen	Familie | Familie: Mann, Mädchen und Mädchen | Junge | Kind | Mann | Mutter | Mädchen | Vater	it	famiglia: uomo, bambina e bambina	bambina | bambino | famiglia | famiglia: uomo, bambina e bambina | mamma | papà | persone | uomo	fr	famille : homme, fille et fille	enfant | famille | famille avec un père, une mère et un fils | famille : homme, fille et fille | femme | fille | fils | garçon | homme | mère | père
👨‍👧	family: man, girl	child | family | family: man, girl | girl | man	familie: mann, jente	barn | familie | familie: mann, jente | far | jente | mann | mennesker | mor	de	Familie: Mann, Mädchen	Familie | Familie: Mann, Mädchen | Junge | Kind | Mann | Mutter | Mädchen | Vater	it	famiglia: uomo e bambina	bambina | bambino | famiglia | famiglia: uomo e bambina | mamma | papà | persone | uomo	fr	famille : homme et fille	enfant | famille | famille avec un père, une mère et un fils | famille : homme et fille | femme | fille | fils | garçon | homme | mère | père
👨‍👩‍👦	family: man, woman, boy	boy | child | family | family: man, woman, boy | man | woman	familie: mann, kvinne, gutt	barn | familie | familie: mann, kvinne, gutt | far | gutt | kvinne | mann | mennesker | mor	de	Familie: Mann, Frau und Junge	Familie | Familie: Mann, Frau und Junge | Frau | Junge | Kind | Mann | Mutter | Vater	it	famiglia: uomo, donna e bambino	bambino | donna | famiglia | famiglia: uomo, donna e bambino | mamma | papà | persone | uomo	fr	famille : homme, femme et garçon	enfant | famille | famille avec un père, une mère et un fils | famille : homme, femme et garçon | femme | fils | garçon | homme | mère | père
👨‍👩‍👦‍👦	family: man, woman, boy, boy	boy | child | family | family: man, woman, boy, boy | man | woman	familie: mann, kvinne, gutt, gutt	barn | familie | familie: mann, kvinne, gutt, gutt | far | gutt | kvinne | mann | mennesker | mor	de	Familie: Mann, Frau, Junge und Junge	Familie | Familie: Mann, Frau, Junge und Junge | Frau | Junge | Kind | Mann | Mutter | Vater	it	famiglia: uomo, donna, bambino e bambino	bambino | donna | famiglia | famiglia: uomo, donna, bambino e bambino | mamma | papà | persone | uomo	fr	famille : homme, femme, garçon et garçon	enfant | famille | famille avec un père, une mère et un fils | famille : homme, femme, garçon et garçon | femme | fils | garçon | homme | mère | père
👨‍👩‍👧	family: man, woman, girl	child | family | family: man, woman, girl | girl | man | woman	familie: mann, kvinne, jente	barn | familie | familie: mann, kvinne, jente | far | jente | kvinne | mann | mennesker | mor	de	Familie: Mann, Frau und Mädchen	Familie | Familie: Mann, Frau und Mädchen | Frau | Junge | Kind | Mann | Mutter | Mädchen | Vater	it	famiglia: uomo, donna e bambina	bambina | bambino | donna | famiglia | famiglia: uomo, donna e bambina | mamma | papà | persone | uomo	fr	famille : homme, femme et fille	enfant | famille | famille avec un père, une mère et un fils | famille : homme, femme et fille | femme | fille | fils | garçon | homme | mère | père
👨‍👩‍👧‍👦	family: man, woman, girl, boy	boy | child | family | family: man, woman, girl, boy | girl | man | woman	familie: mann, kvinne, jente, gutt	barn | familie | familie: mann, kvinne, jente, gutt | far | gutt | jente | kvinne | mann | mennesker | mor	de	Familie: Mann, Frau, Mädchen und Junge	Familie | Familie: Mann, Frau, Mädchen und Junge | Frau | Junge | Kind | Mann | Mutter | Mädchen | Vater	it	famiglia: uomo, donna, bambina e bambino	bambina | bambino | donna | famiglia | famiglia: uomo, donna, bambina e bambino | mamma | papà | persone | uomo	fr	famille : homme, femme, fille et garçon	enfant | famille | famille avec un père, une mère et un fils | famille : homme, femme, fille et garçon | femme | fille | fils | garçon | homme | mère | père
👨‍👩‍👧‍👧	family: man, woman, girl, girl	child | family | family: man, woman, girl, girl | girl | man | woman	familie: mann, kvinne, jente, jente	barn | familie | familie: mann, kvinne, jente, jente | far | jente | kvinne | mann | mennesker | mor	de	Familie: Mann, Frau, Mädchen und Mädchen	Familie | Familie: Mann, Frau, Mädchen und Mädchen | Frau | Junge | Kind | Mann | Mutter | Mädchen | Vater	it	famiglia: uomo, donna, bambina e bambina	bambina | bambino | donna | famiglia | famiglia: uomo, donna, bambina e bambina | mamma | papà | persone | uomo	fr	famille : homme, femme, fille et fille	enfant | famille | famille avec un père, une mère et un fils | famille : homme, femme, fille et fille | femme | fille | fils | garçon | homme | mère | père
👨‍💻	man technologist	coder | computer | developer | inventor | man | man technologist | software | technologist	mannlig IT-ekspert	data | IT | koding | mann | mannlig IT-ekspert | programvare | teknologi	de	IT-Experte	Arbeit | Bildschirm | Büro | Computer | Entwickler | IT-Experte | Mann | Office	it	tecnologo	computer | high tech | lavoro | programmatore | sviluppatore | tecnologia | tecnologo | uomo	fr	informaticien	codeur | développeur | homme | informaticien | inventeur | logiciels | métier | technologie
👨🏻‍💻	man technologist: light skin tone	coder | computer | developer | inventor | light skin tone | man | man technologist (skin tone) | man technologist: light skin tone | software | technologist	mannlig IT-ekspert: hudtype 1–2	data | hudtype 1–2 | IT | koding | mann | mannlig IT-ekspert | mannlig IT-ekspert: hudtype 1–2 | programvare | teknologi	de	IT-Experte: helle Hautfarbe	Arbeit | Bildschirm | Büro | Computer | Entwickler | helle Hautfarbe | IT-Experte | IT-Experte: helle Hautfarbe | Mann | Office	it	tecnologo: carnagione chiara	carnagione chiara | computer | high tech | lavoro | programmatore | sviluppatore | tecnologia | tecnologo | tecnologo: carnagione chiara | uomo	fr	informaticien : peau claire	codeur | développeur | homme | informaticien | informaticien : peau claire | inventeur | logiciels | métier | peau claire | technologie
👨🏼‍💻	man technologist: medium-light skin tone	coder | computer | developer | inventor | man | man technologist (skin tone) | man technologist: medium-light skin tone | medium-light skin tone | software | technologist	mannlig IT-ekspert: hudtype 3	data | hudtype 3 | IT | koding | mann | mannlig IT-ekspert | mannlig IT-ekspert: hudtype 3 | programvare | teknologi	de	IT-Experte: mittelhelle Hautfarbe	Arbeit | Bildschirm | Büro | Computer | Entwickler | IT-Experte | IT-Experte: mittelhelle Hautfarbe | Mann | mittelhelle Hautfarbe | Office	it	tecnologo: carnagione abbastanza chiara	carnagione abbastanza chiara | computer | high tech | lavoro | programmatore | sviluppatore | tecnologia | tecnologo | tecnologo: carnagione abbastanza chiara | uomo	fr	informaticien : peau moyennement claire	codeur | développeur | homme | informaticien | informaticien : peau moyennement claire | inventeur | logiciels | métier | peau moyennement claire | technologie
👨🏽‍💻	man technologist: medium skin tone	coder | computer | developer | inventor | man | man technologist (skin tone) | man technologist: medium skin tone | medium skin tone | software | technologist	mannlig IT-ekspert: hudtype 4	data | hudtype 4 | IT | koding | mann | mannlig IT-ekspert | mannlig IT-ekspert: hudtype 4 | programvare | teknologi	de	IT-Experte: mittlere Hautfarbe	Arbeit | Bildschirm | Büro | Computer | Entwickler | IT-Experte | IT-Experte: mittlere Hautfarbe | Mann | mittlere Hautfarbe | Office	it	tecnologo: carnagione olivastra	carnagione olivastra | computer | high tech | lavoro | programmatore | sviluppatore | tecnologia | tecnologo | tecnologo: carnagione olivastra | uomo	fr	informaticien : peau légèrement mate	codeur | développeur | homme | informaticien | informaticien : peau légèrement mate | inventeur | logiciels | métier | peau légèrement mate | technologie
👨🏾‍💻	man technologist: medium-dark skin tone	coder | computer | developer | inventor | man | man technologist (skin tone) | man technologist: medium-dark skin tone | medium-dark skin tone | software | technologist	mannlig IT-ekspert: hudtype 5	data | hudtype 5 | IT | koding | mann | mannlig IT-ekspert | mannlig IT-ekspert: hudtype 5 | programvare | teknologi	de	IT-Experte: mitteldunkle Hautfarbe	Arbeit | Bildschirm | Büro | Computer | Entwickler | IT-Experte | IT-Experte: mitteldunkle Hautfarbe | Mann | mitteldunkle Hautfarbe | Office	it	tecnologo: carnagione abbastanza scura	carnagione abbastanza scura | computer | high tech | lavoro | programmatore | sviluppatore | tecnologia | tecnologo | tecnologo: carnagione abbastanza scura | uomo	fr	informaticien : peau mate	codeur | développeur | homme | informaticien | informaticien : peau mate | inventeur | logiciels | métier | peau mate | technologie
👨🏿‍💻	man technologist: dark skin tone	coder | computer | dark skin tone | developer | inventor | man | man technologist (skin tone) | man technologist: dark skin tone | software | technologist	mannlig IT-ekspert: hudtype 6	data | hudtype 6 | IT | koding | mann | mannlig IT-ekspert | mannlig IT-ekspert: hudtype 6 | programvare | teknologi	de	IT-Experte: dunkle Hautfarbe	Arbeit | Bildschirm | Büro | Computer | dunkle Hautfarbe | Entwickler | IT-Experte | IT-Experte: dunkle Hautfarbe | Mann | Office	it	tecnologo: carnagione scura	carnagione scura | computer | high tech | lavoro | programmatore | sviluppatore | tecnologia | tecnologo | tecnologo: carnagione scura | uomo	fr	informaticien : peau foncée	codeur | développeur | homme | informaticien | informaticien : peau foncée | inventeur | logiciels | métier | peau foncée | technologie
👨‍💼	man office worker	architect | business | man | man office worker | manager | office | white-collar | worker	mannlig kontorarbeider	kontor | leder | mann | mannlig kontorarbeider | næringsliv	de	Büroangestellter	Angestellter | Büro | Büroangestellter | Manager | Mann	it	impiegato	architetto | business | impiegato | lavoro | manager | ufficio | uomo	fr	employé de bureau	affaires | architecte | bureau | cadre | directeur | employé de bureau | homme | métier
👨🏻‍💼	man office worker: light skin tone	architect | business | light skin tone | man | man office worker (skin tone) | man office worker: light skin tone | manager | office | white-collar | worker	mannlig kontorarbeider: hudtype 1–2	hudtype 1–2 | kontor | leder | mann | mannlig kontorarbeider | mannlig kontorarbeider: hudtype 1–2 | næringsliv	de	Büroangestellter: helle Hautfarbe	Angestellter | Büro | Büroangestellter | Büroangestellter: helle Hautfarbe | helle Hautfarbe | Manager | Mann	it	impiegato: carnagione chiara	architetto | business | carnagione chiara | impiegato | impiegato: carnagione chiara | lavoro | manager | ufficio | uomo	fr	employé de bureau : peau claire	affaires | architecte | bureau | cadre | directeur | employé de bureau | employé de bureau : peau claire | homme | métier | peau claire
👨🏼‍💼	man office worker: medium-light skin tone	architect | business | man | man office worker (skin tone) | man office worker: medium-light skin tone | manager | medium-light skin tone | office | white-collar | worker	mannlig kontorarbeider: hudtype 3	hudtype 3 | kontor | leder | mann | mannlig kontorarbeider | mannlig kontorarbeider: hudtype 3 | næringsliv	de	Büroangestellter: mittelhelle Hautfarbe	Angestellter | Büro | Büroangestellter | Büroangestellter: mittelhelle Hautfarbe | Manager | Mann | mittelhelle Hautfarbe	it	impiegato: carnagione abbastanza chiara	architetto | business | carnagione abbastanza chiara | impiegato | impiegato: carnagione abbastanza chiara | lavoro | manager | ufficio | uomo	fr	employé de bureau : peau moyennement claire	affaires | architecte | bureau | cadre | directeur | employé de bureau | employé de bureau : peau moyennement claire | homme | métier | peau moyennement claire
👨🏽‍💼	man office worker: medium skin tone	architect | business | man | man office worker (skin tone) | man office worker: medium skin tone | manager | medium skin tone | office | white-collar | worker	mannlig kontorarbeider: hudtype 4	hudtype 4 | kontor | leder | mann | mannlig kontorarbeider | mannlig kontorarbeider: hudtype 4 | næringsliv	de	Büroangestellter: mittlere Hautfarbe	Angestellter | Büro | Büroangestellter | Büroangestellter: mittlere Hautfarbe | Manager | Mann | mittlere Hautfarbe	it	impiegato: carnagione olivastra	architetto | business | carnagione olivastra | impiegato | impiegato: carnagione olivastra | lavoro | manager | ufficio | uomo	fr	employé de bureau : peau légèrement mate	affaires | architecte | bureau | cadre | directeur | employé de bureau | employé de bureau : peau légèrement mate | homme | métier | peau légèrement mate
👨🏾‍💼	man office worker: medium-dark skin tone	architect | business | man | man office worker (skin tone) | man office worker: medium-dark skin tone | manager | medium-dark skin tone | office | white-collar | worker	mannlig kontorarbeider: hudtype 5	hudtype 5 | kontor | leder | mann | mannlig kontorarbeider | mannlig kontorarbeider: hudtype 5 | næringsliv	de	Büroangestellter: mitteldunkle Hautfarbe	Angestellter | Büro | Büroangestellter | Büroangestellter: mitteldunkle Hautfarbe | Manager | Mann | mitteldunkle Hautfarbe	it	impiegato: carnagione abbastanza scura	architetto | business | carnagione abbastanza scura | impiegato | impiegato: carnagione abbastanza scura | lavoro | manager | ufficio | uomo	fr	employé de bureau : peau mate	affaires | architecte | bureau | cadre | directeur | employé de bureau | employé de bureau : peau mate | homme | métier | peau mate
👨🏿‍💼	man office worker: dark skin tone	architect | business | dark skin tone | man | man office worker (skin tone) | man office worker: dark skin tone | manager | office | white-collar | worker	mannlig kontorarbeider: hudtype 6	hudtype 6 | kontor | leder | mann | mannlig kontorarbeider | mannlig kontorarbeider: hudtype 6 | næringsliv	de	Büroangestellter: dunkle Hautfarbe	Angestellter | Büro | Büroangestellter | Büroangestellter: dunkle Hautfarbe | dunkle Hautfarbe | Manager | Mann	it	impiegato: carnagione scura	architetto | business | carnagione scura | impiegato | impiegato: carnagione scura | lavoro | manager | ufficio | uomo	fr	employé de bureau : peau foncée	affaires | architecte | bureau | cadre | directeur | employé de bureau | employé de bureau : peau foncée | homme | métier | peau foncée
👨‍🔧	man mechanic	electrician | man | man mechanic | mechanic | plumber | tradesperson	mannlig mekaniker	bil | elektriker | handverker | håndverker | mann | mannlig mekaniker | maskin | mekaniker | motor | rørlegger	de	Mechaniker	Elektriker | Handwerker | Klempner | Mann | Mechaniker	it	meccanico uomo	chiave inglese | idraulico | lavoro | meccanico | meccanico uomo | operaio | tecnico specializzato | tuta blu | uomo	fr	mécanicien	homme | mécanicien | mécanique | métier | ouvrier | plombier | électricien
👨🏻‍🔧	man mechanic: light skin tone	electrician | light skin tone | man | man mechanic (skin tone) | man mechanic: light skin tone | mechanic | plumber | tradesperson	mannlig mekaniker: hudtype 1–2	bil | elektriker | handverker | hudtype 1–2 | håndverker | mann | mannlig mekaniker: hudtype 1–2 | maskin | mekaniker | motor | rørlegger	de	Mechaniker: helle Hautfarbe	Elektriker | Handwerker | helle Hautfarbe | Klempner | Mann | Mechaniker | Mechaniker: helle Hautfarbe	it	meccanico uomo: carnagione chiara	carnagione chiara | chiave inglese | idraulico | lavoro | meccanico | meccanico uomo: carnagione chiara | operaio | tecnico specializzato | tuta blu | uomo	fr	mécanicien : peau claire	homme | mécanicien | mécanicien : peau claire | mécanique | métier | ouvrier | peau claire | plombier | électricien
👨🏼‍🔧	man mechanic: medium-light skin tone	electrician | man | man mechanic (skin tone) | man mechanic: medium-light skin tone | mechanic | medium-light skin tone | plumber | tradesperson	mannlig mekaniker: hudtype 3	bil | elektriker | handverker | hudtype 3 | håndverker | mann | mannlig mekaniker: hudtype 3 | maskin | mekaniker | motor | rørlegger	de	Mechaniker: mittelhelle Hautfarbe	Elektriker | Handwerker | Klempner | Mann | Mechaniker | Mechaniker: mittelhelle Hautfarbe | mittelhelle Hautfarbe	it	meccanico uomo: carnagione abbastanza chiara	carnagione abbastanza chiara | chiave inglese | idraulico | lavoro | meccanico | meccanico uomo: carnagione abbastanza chiara | operaio | tecnico specializzato | tuta blu | uomo	fr	mécanicien : peau moyennement claire	homme | mécanicien | mécanicien : peau moyennement claire | mécanique | métier | ouvrier | peau moyennement claire | plombier | électricien
👨🏽‍🔧	man mechanic: medium skin tone	electrician | man | man mechanic (skin tone) | man mechanic: medium skin tone | mechanic | medium skin tone | plumber | tradesperson	mannlig mekaniker: hudtype 4	bil | elektriker | handverker | hudtype 4 | håndverker | mann | mannlig mekaniker: hudtype 4 | maskin | mekaniker | motor | rørlegger	de	Mechaniker: mittlere Hautfarbe	Elektriker | Handwerker | Klempner | Mann | Mechaniker | Mechaniker: mittlere Hautfarbe | mittlere Hautfarbe	it	meccanico uomo: carnagione olivastra	carnagione olivastra | chiave inglese | idraulico | lavoro | meccanico | meccanico uomo: carnagione olivastra | operaio | tecnico specializzato | tuta blu | uomo	fr	mécanicien : peau légèrement mate	homme | mécanicien | mécanicien : peau légèrement mate | mécanique | métier | ouvrier | peau légèrement mate | plombier | électricien
👨🏾‍🔧	man mechanic: medium-dark skin tone	electrician | man | man mechanic (skin tone) | man mechanic: medium-dark skin tone | mechanic | medium-dark skin tone | plumber | tradesperson	mannlig mekaniker: hudtype 5	bil | elektriker | handverker | hudtype 5 | håndverker | mann | mannlig mekaniker: hudtype 5 | maskin | mekaniker | motor | rørlegger	de	Mechaniker: mitteldunkle Hautfarbe	Elektriker | Handwerker | Klempner | Mann | Mechaniker | Mechaniker: mitteldunkle Hautfarbe | mitteldunkle Hautfarbe	it	meccanico uomo: carnagione abbastanza scura	carnagione abbastanza scura | chiave inglese | idraulico | lavoro | meccanico | meccanico uomo: carnagione abbastanza scura | operaio | tecnico specializzato | tuta blu | uomo	fr	mécanicien : peau mate	homme | mécanicien | mécanicien : peau mate | mécanique | métier | ouvrier | peau mate | plombier | électricien
👨🏿‍🔧	man mechanic: dark skin tone	dark skin tone | electrician | man | man mechanic (skin tone) | man mechanic: dark skin tone | mechanic | plumber | tradesperson	mannlig mekaniker: hudtype 6	bil | elektriker | handverker | hudtype 6 | håndverker | mann | mannlig mekaniker: hudtype 6 | maskin | mekaniker | motor | rørlegger	de	Mechaniker: dunkle Hautfarbe	dunkle Hautfarbe | Elektriker | Handwerker | Klempner | Mann | Mechaniker | Mechaniker: dunkle Hautfarbe	it	meccanico uomo: carnagione scura	carnagione scura | chiave inglese | idraulico | lavoro | meccanico | meccanico uomo: carnagione scura | operaio | tecnico specializzato | tuta blu | uomo	fr	mécanicien : peau foncée	homme | mécanicien | mécanicien : peau foncée | mécanique | métier | ouvrier | peau foncée | plombier | électricien
👨‍🔬	man scientist	biologist | chemist | engineer | man | man scientist | mathematician | physicist | scientist	mannlig forsker	biologi | forsker | forskning | kjemi | lab | laboratorium | mann | mannlig forsker | medisin | vitenskap	de	Wissenschaftler	Chemie | Forscher | Labor | Wissenschaftler	it	scienziato	biologia | biologo | camice | chimica | lavoro | scienza | scienziato | uomo	fr	scientifique homme	biologiste | chimiste | homme | ingénieur | mathématicien | métier | physicien | scientifique | scientifique homme
👨🏻‍🔬	man scientist: light skin tone	biologist | chemist | engineer | light skin tone | man | man scientist (skin tone) | man scientist: light skin tone | mathematician | physicist | scientist	mannlig forsker: hudtype 1–2	biologi | forsker | forskning | hudtype 1–2 | kjemi | lab | laboratorium | mann | mannlig forsker: hudtype 1–2 | medisin | vitenskap	de	Wissenschaftler: helle Hautfarbe	Chemie | Forscher | helle Hautfarbe | Labor | Wissenschaftler | Wissenschaftler: helle Hautfarbe	it	scienziato: carnagione chiara	biologia | biologo | camice | carnagione chiara | chimica | lavoro | scienza | scienziato | scienziato: carnagione chiara | uomo	fr	scientifique homme : peau claire	biologiste | chimiste | homme | ingénieur | mathématicien | métier | peau claire | physicien | scientifique | scientifique homme : peau claire
👨🏼‍🔬	man scientist: medium-light skin tone	biologist | chemist | engineer | man | man scientist (skin tone) | man scientist: medium-light skin tone | mathematician | medium-light skin tone | physicist | scientist	mannlig forsker: hudtype 3	biologi | forsker | forskning | hudtype 3 | kjemi | lab | laboratorium | mann | mannlig forsker: hudtype 3 | medisin | vitenskap	de	Wissenschaftler: mittelhelle Hautfarbe	Chemie | Forscher | Labor | mittelhelle Hautfarbe | Wissenschaftler | Wissenschaftler: mittelhelle Hautfarbe	it	scienziato: carnagione abbastanza chiara	biologia | biologo | camice | carnagione abbastanza chiara | chimica | lavoro | scienza | scienziato | scienziato: carnagione abbastanza chiara | uomo	fr	scientifique homme : peau moyennement claire	biologiste | chimiste | homme | ingénieur | mathématicien | métier | peau moyennement claire | physicien | scientifique | scientifique homme : peau moyennement claire
👨🏽‍🔬	man scientist: medium skin tone	biologist | chemist | engineer | man | man scientist (skin tone) | man scientist: medium skin tone | mathematician | medium skin tone | physicist | scientist	mannlig forsker: hudtype 4	biologi | forsker | forskning | hudtype 4 | kjemi | lab | laboratorium | mann | mannlig forsker: hudtype 4 | medisin | vitenskap	de	Wissenschaftler: mittlere Hautfarbe	Chemie | Forscher | Labor | mittlere Hautfarbe | Wissenschaftler | Wissenschaftler: mittlere Hautfarbe	it	scienziato: carnagione olivastra	biologia | biologo | camice | carnagione olivastra | chimica | lavoro | scienza | scienziato | scienziato: carnagione olivastra | uomo	fr	scientifique homme : peau légèrement mate	biologiste | chimiste | homme | ingénieur | mathématicien | métier | peau légèrement mate | physicien | scientifique | scientifique homme : peau légèrement mate
👨🏾‍🔬	man scientist: medium-dark skin tone	biologist | chemist | engineer | man | man scientist (skin tone) | man scientist: medium-dark skin tone | mathematician | medium-dark skin tone | physicist | scientist	mannlig forsker: hudtype 5	biologi | forsker | forskning | hudtype 5 | kjemi | lab | laboratorium | mann | mannlig forsker: hudtype 5 | medisin | vitenskap	de	Wissenschaftler: mitteldunkle Hautfarbe	Chemie | Forscher | Labor | mitteldunkle Hautfarbe | Wissenschaftler | Wissenschaftler: mitteldunkle Hautfarbe	it	scienziato: carnagione abbastanza scura	biologia | biologo | camice | carnagione abbastanza scura | chimica | lavoro | scienza | scienziato | scienziato: carnagione abbastanza scura | uomo	fr	scientifique homme : peau mate	biologiste | chimiste | homme | ingénieur | mathématicien | métier | peau mate | physicien | scientifique | scientifique homme : peau mate
👨🏿‍🔬	man scientist: dark skin tone	biologist | chemist | dark skin tone | engineer | man | man scientist (skin tone) | man scientist: dark skin tone | mathematician | physicist | scientist	mannlig forsker: hudtype 6	biologi | forsker | forskning | hudtype 6 | kjemi | lab | laboratorium | mann | mannlig forsker: hudtype 6 | medisin | vitenskap	de	Wissenschaftler: dunkle Hautfarbe	Chemie | dunkle Hautfarbe | Forscher | Labor | Wissenschaftler | Wissenschaftler: dunkle Hautfarbe	it	scienziato: carnagione scura	biologia | biologo | camice | carnagione scura | chimica | lavoro | scienza | scienziato | scienziato: carnagione scura | uomo	fr	scientifique homme : peau foncée	biologiste | chimiste | homme | ingénieur | mathématicien | métier | peau foncée | physicien | scientifique | scientifique homme : peau foncée
👨‍🚀	man astronaut	astronaut | man | man astronaut | rocket | space	mannlig astronaut	astronaut | mann | mannlig astronaut | romfart | verdensrommet	de	Astronaut	Astronaut | Mann | Raumfahrt | Weltraum	it	astronauta uomo	astronauta | astronauta maschio | astronauta uomo | lavoro | razzo | scienza | spazio | universo | uomo	fr	astronaute homme	astronaute | astronaute homme | casque | cosmonaute | espace | fusée | homme | métier | spationaute
👨🏻‍🚀	man astronaut: light skin tone	astronaut | light skin tone | man | man astronaut (skin tone) | man astronaut: light skin tone | rocket | space	mannlig astronaut: hudtype 1–2	astronaut | hudtype 1–2 | mann | mannlig astronaut | mannlig astronaut: hudtype 1–2 | romfart | verdensrommet	de	Astronaut: helle Hautfarbe	Astronaut | Astronaut: helle Hautfarbe | helle Hautfarbe | Mann | Raumfahrt | Weltraum	it	astronauta uomo: carnagione chiara	astronauta | astronauta maschio | astronauta uomo: carnagione chiara | carnagione chiara | lavoro | razzo | scienza | spazio | universo | uomo	fr	astronaute homme : peau claire	astronaute | astronaute homme : peau claire | casque | cosmonaute | espace | fusée | homme | métier | peau claire | spationaute
👨🏼‍🚀	man astronaut: medium-light skin tone	astronaut | man | man astronaut (skin tone) | man astronaut: medium-light skin tone | medium-light skin tone | rocket | space	mannlig astronaut: hudtype 3	astronaut | hudtype 3 | mann | mannlig astronaut | mannlig astronaut: hudtype 3 | romfart | verdensrommet	de	Astronaut: mittelhelle Hautfarbe	Astronaut | Astronaut: mittelhelle Hautfarbe | Mann | mittelhelle Hautfarbe | Raumfahrt | Weltraum	it	astronauta uomo: carnagione abbastanza chiara	astronauta | astronauta maschio | astronauta uomo: carnagione abbastanza chiara | carnagione abbastanza chiara | lavoro | razzo | scienza | spazio | universo | uomo	fr	astronaute homme : peau moyennement claire	astronaute | astronaute homme : peau moyennement claire | casque | cosmonaute | espace | fusée | homme | métier | peau moyennement claire | spationaute
👨🏽‍🚀	man astronaut: medium skin tone	astronaut | man | man astronaut (skin tone) | man astronaut: medium skin tone | medium skin tone | rocket | space	mannlig astronaut: hudtype 4	astronaut | hudtype 4 | mann | mannlig astronaut | mannlig astronaut: hudtype 4 | romfart | verdensrommet	de	Astronaut: mittlere Hautfarbe	Astronaut | Astronaut: mittlere Hautfarbe | Mann | mittlere Hautfarbe | Raumfahrt | Weltraum	it	astronauta uomo: carnagione olivastra	astronauta | astronauta maschio | astronauta uomo: carnagione olivastra | carnagione olivastra | lavoro | razzo | scienza | spazio | universo | uomo	fr	astronaute homme : peau légèrement mate	astronaute | astronaute homme : peau légèrement mate | casque | cosmonaute | espace | fusée | homme | métier | peau légèrement mate | spationaute
👨🏾‍🚀	man astronaut: medium-dark skin tone	astronaut | man | man astronaut (skin tone) | man astronaut: medium-dark skin tone | medium-dark skin tone | rocket | space	mannlig astronaut: hudtype 5	astronaut | hudtype 5 | mann | mannlig astronaut | mannlig astronaut: hudtype 5 | romfart | verdensrommet	de	Astronaut: mitteldunkle Hautfarbe	Astronaut | Astronaut: mitteldunkle Hautfarbe | Mann | mitteldunkle Hautfarbe | Raumfahrt | Weltraum	it	astronauta uomo: carnagione abbastanza scura	astronauta | astronauta maschio | astronauta uomo: carnagione abbastanza scura | carnagione abbastanza scura | lavoro | razzo | scienza | spazio | universo | uomo	fr	astronaute homme : peau mate	astronaute | astronaute homme : peau mate | casque | cosmonaute | espace | fusée | homme | métier | peau mate | spationaute
👨🏿‍🚀	man astronaut: dark skin tone	astronaut | dark skin tone | man | man astronaut (skin tone) | man astronaut: dark skin tone | rocket | space	mannlig astronaut: hudtype 6	astronaut | hudtype 6 | mann | mannlig astronaut | mannlig astronaut: hudtype 6 | romfart | verdensrommet	de	Astronaut: dunkle Hautfarbe	Astronaut | Astronaut: dunkle Hautfarbe | dunkle Hautfarbe | Mann | Raumfahrt | Weltraum	it	astronauta uomo: carnagione scura	astronauta | astronauta maschio | astronauta uomo: carnagione scura | carnagione scura | lavoro | razzo | scienza | spazio | universo | uomo	fr	astronaute homme : peau foncée	astronaute | astronaute homme : peau foncée | casque | cosmonaute | espace | fusée | homme | métier | peau foncée | spationaute
